provider_id,provider_name,npi,dea,specialty_concept_id,care_site_id,year_of_birth,gender_concept_id,provider_source_value,specialty_source_value,specialty_source_concept_id,gender_source_value,gender_source_concept_id
77,分子診療・細胞治療,,,,,,,8B,分子診療・細胞治療,,,
78,特殊外来,,,,,,,8C,特殊外来,,,
79,手術部,,,,,,,8D,手術部,,,
80,薬剤部,,,,,,,8E,薬剤部,,,
81,栄養指導科,,,,,,,8G,栄養指導科,,,
82,看護部,,,,,,,8H,看護部,,,
83,地域医療連携部,,,,,,,8J,地域医療連携部,,,
84,治験センター,,,,,,,8K,治験センター,,,
85,歯科,,,,,,,90,歯科,,,
86,医事・事務,,,,,,,98,医事・事務,,,
87,その他,,,,,,,9Z,その他,,,
88,第１内科,,,,,,,011,第１内科,,,
89,第２内科,,,,,,,012,第２内科,,,
90,第３内科,,,,,,,013,第３内科,,,
91,第４内科,,,,,,,014,第４内科,,,
92,一般内科,,,,,,,018,一般内科,,,
93,被爆放射線医療内科,,,,,,,01A,被爆放射線医療内科,,,
94,精神科・心の診療科,,,,,,,021,精神科・心の診療科,,,
95,精神科デイケア,,,,,,,022,精神科デイケア,,,
96,てんかん科,,,,,,,04A,てんかん科,,,
97,もの忘れ科,,,,,,,04B,もの忘れ科,,,
98,高次脳機能障害科,,,,,,,04C,高次脳機能障害科,,,
99,頭痛外来,,,,,,,04D,頭痛外来,,,
100,脳卒中外来,,,,,,,04E,脳卒中外来,,,
101,呼吸器・アレルギー科,,,,,,,051,呼吸器・アレルギー科,,,
102,呼吸器・感染症内科,,,,,,,052,呼吸器・感染症内科,,,
103,せき外来,,,,,,,05A,せき外来,,,
104,禁煙外来,,,,,,,05B,禁煙外来,,,
105,肝臓内科,,,,,,,061,肝臓内科,,,
106,肝胆膵科,,,,,,,062,肝胆膵科,,,
107,膵臓内科,,,,,,,063,膵臓内科,,,
108,胆道・膵臓内科,,,,,,,064,胆道・膵臓内科,,,
109,肝臓病科,,,,,,,06A,肝臓病科,,,
110,脂肪肝外来,,,,,,,06B,脂肪肝外来,,,
111,炎症性腸疾患外来,,,,,,,07A,炎症性腸疾患外来,,,
112,ピロリ菌外来,,,,,,,07B,ピロリ菌外来,,,
113,循環器内科,,,,,,,081,循環器内科,,,
114,冠動脈疾患治療部,,,,,,,082,冠動脈疾患治療部,,,
115,リンパ科,,,,,,,083,リンパ科,,,
116,小児科周産母子,,,,,,,091,小児科周産母子,,,
117,新生児科,,,,,,,092,新生児科,,,
118,小児循環器科,,,,,,,093,小児循環器科,,,
119,小児神経科,,,,,,,094,小児神経科,,,
120,未熟児センター,,,,,,,095,未熟児センター,,,
121,ＮＩＣＵ,,,,,,,096,ＮＩＣＵ,,,
122,ＧＣＵ,,,,,,,097,ＧＣＵ,,,
123,成長発達外来,,,,,,,09A,成長発達外来,,,
124,第１外科,,,,,,,101,第１外科,,,
125,第２外科,,,,,,,102,第２外科,,,
126,第３外科,,,,,,,103,第３外科,,,
127,一般外科,,,,,,,105,一般外科,,,
128,総合外科,,,,,,,106,総合外科,,,
129,病態外科,,,,,,,107,病態外科,,,
130,被爆放射線医療外科,,,,,,,10A,被爆放射線医療外科,,,
131,整形外科・脊椎外科,,,,,,,111,整形外科・脊椎外科,,,
132,脊椎外科,,,,,,,112,脊椎外科,,,
133,ロコモティブ外来,,,,,,,113,ロコモティブ外来,,,
134,人工関節センター,,,,,,,114,人工関節センター,,,
135,装具外来,,,,,,,115,装具外来,,,
136,アスリート診療,,,,,,,116,アスリート診療,,,
137,スポーツ医学,,,,,,,117,スポーツ医学,,,
138,関節外科,,,,,,,119,関節外科,,,
139,手外科,,,,,,,11A,手外科,,,
140,形成外科・美容外科,,,,,,,121,形成外科・美容外科,,,
141,再建外科,,,,,,,122,再建外科,,,
142,脳腫瘍科,,,,,,,141,脳腫瘍科,,,
143,心臓外科,,,,,,,162,心臓外科,,,
144,胸部外科,,,,,,,163,胸部外科,,,
145,循環器外科,,,,,,,164,循環器外科,,,
146,心臓・人工臓器外科,,,,,,,165,心臓・人工臓器外科,,,
147,小児外科（周産母子）,,,,,,,171,小児外科（周産母子）,,,
148,皮膚科・レーザ科,,,,,,,191,皮膚科・レーザ科,,,
149,紫外線外来,,,,,,,192,紫外線外来,,,
150,泌尿器科・男性科,,,,,,,201,泌尿器科・男性科,,,
151,コンチネンス外来,,,,,,,202,コンチネンス外来,,,
152,ストマケア外来,,,,,,,221,ストマケア外来,,,
153,産科婦人科,,,,,,,230,産科婦人科,,,
154,女性外科,,,,,,,231,女性外科,,,
155,助産師外来,,,,,,,241,助産師外来,,,
156,不妊内分泌科,,,,,,,251,不妊内分泌科,,,
157,周産科,,,,,,,252,周産科,,,
158,周産期母性科,,,,,,,253,周産期母性科,,,
159,婦人周産期科,,,,,,,254,婦人周産期科,,,
160,腹腔鏡外来,,,,,,,255,腹腔鏡外来,,,
161,女性科,,,,,,,25A,女性科,,,
162,女性外来,,,,,,,25B,女性外来,,,
163,女性診療科・産科,,,,,,,25C,女性診療科・産科,,,
164,眼科・視覚矯正科,,,,,,,261,眼科・視覚矯正科,,,
165,白内障外来,,,,,,,262,白内障外来,,,
166,コンタクトレンズ外来,,,,,,,263,コンタクトレンズ外来,,,
167,ドライアイ外来,,,,,,,264,ドライアイ外来,,,
168,ぶどう膜炎外来,,,,,,,265,ぶどう膜炎外来,,,
169,角膜・眼アレルギー外来,,,,,,,266,角膜・眼アレルギー外来,,,
170,網膜疾患外来,,,,,,,267,網膜疾患外来,,,
171,角膜移植部,,,,,,,26A,角膜移植部,,,
172,耳鼻咽喉科・神経耳科,,,,,,,271,耳鼻咽喉科・神経耳科,,,
173,耳鼻咽喉・頭頸部外科,,,,,,,272,耳鼻咽喉・頭頸部外科,,,
174,困難気道外来,,,,,,,273,困難気道外来,,,
175,頭頸部科,,,,,,,274,頭頸部科,,,
176,放射線部,,,,,,,301,放射線部,,,
177,放射線診断科,,,,,,,302,放射線診断科,,,
178,放射線画像診断・ＩＶＲ科,,,,,,,303,放射線画像診断・ＩＶＲ科,,,
179,核医学科,,,,,,,304,核医学科,,,
180,放射線治療科,,,,,,,30B,放射線治療科,,,
181,Ｘ線科,,,,,,,30C,Ｘ線科,,,
182,麻酔・疼痛・緩和医療科,,,,,,,311,麻酔・疼痛・緩和医療科,,,
183,麻酔科蘇生科,,,,,,,312,麻酔科蘇生科,,,
184,麻酔・疼痛科,,,,,,,313,麻酔・疼痛科,,,
185,ペインクリニック科,,,,,,,31A,ペインクリニック科,,,
186,心身医学科,,,,,,,331,心身医学科,,,
187,心の内科,,,,,,,332,心の内科,,,
188,こどものこころ診療,,,,,,,333,こどものこころ診療,,,
189,小児精神科,,,,,,,334,小児精神科,,,
190,環境医学外来（アレルギー科）,,,,,,,34A,環境医学外来（アレルギー科）,,,
191,アレルギー内科,,,,,,,34B,アレルギー内科,,,
192,アレルギー・免疫内科,,,,,,,34C,アレルギー・免疫内科,,,
193,アレルギー・リウマチ内科,,,,,,,34D,アレルギー・リウマチ内科,,,
194,リウマチ内科,,,,,,,35A,リウマチ内科,,,
195,内分泌・リウマチ科,,,,,,,35B,内分泌・リウマチ科,,,
196,言語療法科,,,,,,,361,言語療法科,,,
197,股体不自由リハビリテーション科,,,,,,,362,股体不自由リハビリテーション科,,,
198,内部障害リハビリテーション科,,,,,,,363,内部障害リハビリテーション科,,,
199,理学療法科,,,,,,,364,理学療法科,,,
200,物理療法内科,,,,,,,365,物理療法内科,,,
201,救命救急センター,,,,,,,391,救命救急センター,,,
202,内科系救急科,,,,,,,392,内科系救急科,,,
203,救急外科,,,,,,,393,救急外科,,,
204,外科系救急科,,,,,,,394,外科系救急科,,,
205,初期診療・救急科,,,,,,,398,初期診療・救急科,,,
206,血液免疫科,,,,,,,41C,血液免疫科,,,
207,血液科,,,,,,,41D,血液科,,,
208,無菌治療部,,,,,,,421,無菌治療部,,,
209,血液浄化療法部,,,,,,,431,血液浄化療法部,,,
210,透析治療部,,,,,,,432,透析治療部,,,
211,腫瘍内科,,,,,,,471,腫瘍内科,,,
212,化学療法部,,,,,,,472,化学療法部,,,
213,小児腫瘍科,,,,,,,473,小児腫瘍科,,,
214,精神腫瘍外来,,,,,,,474,精神腫瘍外来,,,
215,免疫療法外来,,,,,,,475,免疫療法外来,,,
216,脳腫瘍診療部,,,,,,,476,脳腫瘍診療部,,,
217,腎不全科,,,,,,,48D,腎不全科,,,
218,腎移植科,,,,,,,48E,腎移植科,,,
219,睡眠時無呼吸症候群外来,,,,,,,491,睡眠時無呼吸症候群外来,,,
220,予診科,,,,,,,51A,予診科,,,
221,初診科,,,,,,,51B,初診科,,,
222,総合内科,,,,,,,51G,総合内科,,,
223,光学医療診療部,,,,,,,521,光学医療診療部,,,
224,内分泌・代謝内科,,,,,,,53A,内分泌・代謝内科,,,
225,膠原病内科,,,,,,,54A,膠原病内科,,,
226,膠原病・アレルギ—内科,,,,,,,54B,膠原病・アレルギ—内科,,,
227,膠原病・アレルギ—・リウマチ内科,,,,,,,54C,膠原病・アレルギ—・リウマチ内科,,,
228,免疫・膠原病・感染症科,,,,,,,54D,免疫・膠原病・感染症科,,,
229,膠原病・リウマチ内科,,,,,,,54E,膠原病・リウマチ内科,,,
230,膠原病・感染症内科,,,,,,,54F,膠原病・感染症内科,,,
231,免疫・膠原病内科,,,,,,,54G,免疫・膠原病内科,,,
232,消化管内科,,,,,,,70A,消化管内科,,,
233,骨粗鬆症外来,,,,,,,72A,骨粗鬆症外来,,,
234,糖尿病科,,,,,,,731,糖尿病科,,,
235,糖尿病・代謝内科,,,,,,,73B,糖尿病・代謝内科,,,
236,糖尿病・内分泌内科,,,,,,,73C,糖尿病・内分泌内科,,,
237,糖尿病・代謝・内分泌内科,,,,,,,73D,糖尿病・代謝・内分泌内科,,,
238,肝臓・糖尿病・内分泌内科,,,,,,,73F,肝臓・糖尿病・内分泌内科,,,
239,糖尿病・栄養内科,,,,,,,73G,糖尿病・栄養内科,,,
240,腎・高血圧・脳血管科,,,,,,,74A,腎・高血圧・脳血管科,,,
241,腎・高血圧・内分泌科,,,,,,,74B,腎・高血圧・内分泌科,,,
242,腎臓・内分泌代謝内科,,,,,,,74C,腎臓・内分泌代謝内科,,,
243,感染症内科,,,,,,,751,感染症内科,,,
244,総合感染症科,,,,,,,752,総合感染症科,,,
245,感染症管理治療部,,,,,,,753,感染症管理治療部,,,
246,感染制御部,,,,,,,754,感染制御部,,,
247,漢方内科,,,,,,,761,漢方内科,,,
248,和漢診療科,,,,,,,762,和漢診療科,,,
249,老年病内科,,,,,,,771,老年病内科,,,
250,老人科,,,,,,,772,老人科,,,
251,脳血管内治療科,,,,,,,79A,脳血管内治療科,,,
252,消化管外科,,,,,,,7A1,消化管外科,,,
253,食道外科,,,,,,,7B1,食道外科,,,
254,食道・胃腸外科,,,,,,,7B2,食道・胃腸外科,,,
255,胃・食道外科,,,,,,,7B3,胃・食道外科,,,
256,胃腸外科,,,,,,,7B4,胃腸外科,,,
257,胃外科,,,,,,,7B5,胃外科,,,
258,大腸外科,,,,,,,7C1,大腸外科,,,
259,大腸・肛門外科,,,,,,,7C2,大腸・肛門外科,,,
260,肝胆外科,,,,,,,801,肝胆外科,,,
261,肝胆膵・移植外科,,,,,,,802,肝胆膵・移植外科,,,
262,移植・再建・内視鏡外科,,,,,,,811,移植・再建・内視鏡外科,,,
263,人工臓器移植外科,,,,,,,812,人工臓器移植外科,,,
264,移植診療部,,,,,,,813,移植診療部,,,
265,骨バンク,,,,,,,814,骨バンク,,,
266,乳腺内分泌外科,,,,,,,821,乳腺内分泌外科,,,
267,乳腺・甲状腺外科,,,,,,,822,乳腺・甲状腺外科,,,
268,乳腺・内分泌外科,,,,,,,823,乳腺・内分泌外科,,,
269,ブレストセンター,,,,,,,824,ブレストセンター,,,
270,緩和ケア相談,,,,,,,831,緩和ケア相談,,,
271,緩和医療,,,,,,,832,緩和医療,,,
272,地域包括緩和ケア,,,,,,,833,地域包括緩和ケア,,,
273,ゲノム診療部,,,,,,,851,ゲノム診療部,,,
274,顎口腔外科,,,,,,,861,顎口腔外科,,,
275,顎顔面再建科,,,,,,,862,顎顔面再建科,,,
276,顎機能科,,,,,,,863,顎機能科,,,
277,顎検査科,,,,,,,864,顎検査科,,,
278,顎歯科,,,,,,,865,顎歯科,,,
279,顔面口腔外科,,,,,,,866,顔面口腔外科,,,
280,顔面外科,,,,,,,867,顔面外科,,,
281,口腔診療科,,,,,,,86A,口腔診療科,,,
282,口腔総合診療科,,,,,,,86D,口腔総合診療科,,,
283,口腔画像診断科,,,,,,,86E,口腔画像診断科,,,
284,口腔機能回復科,,,,,,,86F,口腔機能回復科,,,
285,口腔診断科,,,,,,,86G,口腔診断科,,,
286,口腔言語科,,,,,,,86H,口腔言語科,,,
287,保健診療部,,,,,,,882,保健診療部,,,
288,メディカルフィットネス,,,,,,,883,メディカルフィットネス,,,
289,デイ・サージェリー,,,,,,,8D2,デイ・サージェリー,,,
290,薬剤情報部,,,,,,,8E1,薬剤情報部,,,
291,臨床薬理内科,,,,,,,8E2,臨床薬理内科,,,
292,歯科顎口腔外科,,,,,,,901,歯科顎口腔外科,,,
293,歯科口腔外科,,,,,,,902,歯科口腔外科,,,
294,矯正歯科,,,,,,,903,矯正歯科,,,
295,歯周科,,,,,,,904,歯周科,,,
296,歯内治療科,,,,,,,905,歯内治療科,,,
297,小児歯科,,,,,,,906,小児歯科,,,
298,障害歯科,,,,,,,907,障害歯科,,,
299,クラウン補綴科,,,,,,,908,クラウン補綴科,,,
300,特殊歯科,,,,,,,909,特殊歯科,,,
301,虫歯科,,,,,,,90A,虫歯科,,,
302,医学支援歯科,,,,,,,90B,医学支援歯科,,,
303,全身管理歯科,,,,,,,90C,全身管理歯科,,,
304,総合歯科,,,,,,,90D,総合歯科,,,
305,保存修復歯科,,,,,,,90E,保存修復歯科,,,
306,予防歯科,,,,,,,90F,予防歯科,,,
307,咬合修復科,,,,,,,90G,咬合修復科,,,
308,審美歯科,,,,,,,90H,審美歯科,,,
309,義歯科,,,,,,,90J,義歯科,,,
310,義歯補綴科,,,,,,,90K,義歯補綴科,,,
311,インプラント歯科,,,,,,,90L,インプラント歯科,,,
312,高齢歯科,,,,,,,90M,高齢歯科,,,
313,小児咬合障害科,,,,,,,90N,小児咬合障害科,,,
314,歯科麻酔科,,,,,,,90P,歯科麻酔科,,,
315,歯科X線科,,,,,,,90R,歯科X線科,,,
316,健康歯科,,,,,,,90S,健康歯科,,,
317,歯科予診,,,,,,,90T,歯科予診,,,
318,病歴部,,,,,,,981,病歴部,,,
319,事務,,,,,,,982,事務,,,
320,医療社会福祉部,,,,,,,983,医療社会福祉部,,,
